Date,City,Type,Count
11/1/2019,Karachi,PM 2.5,101
11/2/2019,Karachi,PM 2.5,129
11/3/2019,Karachi,PM 2.5,105
11/4/2019,Karachi,PM 2.5,89
11/5/2019,Karachi,PM 2.5,117
11/6/2019,Karachi,PM 2.5,131
11/7/2019,Karachi,PM 2.5,106
11/8/2019,Karachi,PM 2.5,-
11/9/2019,Karachi,PM 2.5,-
11/10/2019,Karachi,PM 2.5,-
11/11/2019,Karachi,PM 2.5,136
11/12/2019,Karachi,PM 2.5,147
11/13/2019,Karachi,PM 2.5,164
11/14/2019,Karachi,PM 2.5,168
11/15/2019,Karachi,PM 2.5,152
11/16/2019,Karachi,PM 2.5,-
11/17/2019,Karachi,PM 2.5,-
11/18/2019,Karachi,PM 2.5,-
11/19/2019,Karachi,PM 2.5,129
11/20/2019,Karachi,PM 2.5,134
11/21/2019,Karachi,PM 2.5,113
11/22/2019,Karachi,PM 2.5,145
11/23/2019,Karachi,PM 2.5,166
11/24/2019,Karachi,PM 2.5,171
11/25/2019,Karachi,PM 2.5,160
11/26/2019,Karachi,PM 2.5,143
11/27/2019,Karachi,PM 2.5,141
11/28/2019,Karachi,PM 2.5,149
11/29/2019,Karachi,PM 2.5,156
11/30/2019,Karachi,PM 2.5,150
12/1/2019,Karachi,PM 2.5,158
12/2/2019,Karachi,PM 2.5,148
12/3/2019,Karachi,PM 2.5,155
12/4/2019,Karachi,PM 2.5,140
12/5/2019,Karachi,PM 2.5,132
12/6/2019,Karachi,PM 2.5,138
12/7/2019,Karachi,PM 2.5,137
12/8/2019,Karachi,PM 2.5,143
12/9/2019,Karachi,PM 2.5,148
12/10/2019,Karachi,PM 2.5,167
12/11/2019,Karachi,PM 2.5,210
12/12/2019,Karachi,PM 2.5,102
12/13/2019,Karachi,PM 2.5,160
12/14/2019,Karachi,PM 2.5,169
12/15/2019,Karachi,PM 2.5,157
12/16/2019,Karachi,PM 2.5,161
12/17/2019,Karachi,PM 2.5,164
12/18/2019,Karachi,PM 2.5,134
12/19/2019,Karachi,PM 2.5,141
12/20/2019,Karachi,PM 2.5,175
12/21/2019,Karachi,PM 2.5,165
12/22/2019,Karachi,PM 2.5,154
12/23/2019,Karachi,PM 2.5,135
12/24/2019,Karachi,PM 2.5,146
12/25/2019,Karachi,PM 2.5,152
12/26/2019,Karachi,PM 2.5,149
12/27/2019,Karachi,PM 2.5,165
12/28/2019,Karachi,PM 2.5,210
12/29/2019,Karachi,PM 2.5,198
12/30/2019,Karachi,PM 2.5,177
12/31/2019,Karachi,PM 2.5,-
1/1/2020,Karachi,PM 2.5,-
1/2/2020,Karachi,PM 2.5,174
1/3/2020,Karachi,PM 2.5,156
1/4/2020,Karachi,PM 2.5,169
1/5/2020,Karachi,PM 2.5,213
1/6/2020,Karachi,PM 2.5,165
1/7/2020,Karachi,PM 2.5,191
1/8/2020,Karachi,PM 2.5,152
1/9/2020,Karachi,PM 2.5,151
1/10/2020,Karachi,PM 2.5,140
1/11/2020,Karachi,PM 2.5,114
1/12/2020,Karachi,PM 2.5,134
1/13/2020,Karachi,PM 2.5,119
1/14/2020,Karachi,PM 2.5,105
1/15/2020,Karachi,PM 2.5,130
1/16/2020,Karachi,PM 2.5,106
1/17/2020,Karachi,PM 2.5,122
1/18/2020,Karachi,PM 2.5,163
1/19/2020,Karachi,PM 2.5,184
1/20/2020,Karachi,PM 2.5,126
1/21/2020,Karachi,PM 2.5,168
1/22/2020,Karachi,PM 2.5,170
1/23/2020,Karachi,PM 2.5,172
1/24/2020,Karachi,PM 2.5,154
1/25/2020,Karachi,PM 2.5,149
1/26/2020,Karachi,PM 2.5,152
1/27/2020,Karachi,PM 2.5,141
1/28/2020,Karachi,PM 2.5,106
1/29/2020,Karachi,PM 2.5,107
1/30/2020,Karachi,PM 2.5,123
1/31/2020,Karachi,PM 2.5,141
2/1/2020,Karachi,PM 2.5,164
2/2/2020,Karachi,PM 2.5,160
2/3/2020,Karachi,PM 2.5,132
2/4/2020,Karachi,PM 2.5,165
2/5/2020,Karachi,PM 2.5,116
2/6/2020,Karachi,PM 2.5,135
2/7/2020,Karachi,PM 2.5,154
2/8/2020,Karachi,PM 2.5,161
2/9/2020,Karachi,PM 2.5,139
2/10/2020,Karachi,PM 2.5,151
2/11/2020,Karachi,PM 2.5,168
2/12/2020,Karachi,PM 2.5,174
2/13/2020,Karachi,PM 2.5,154
2/14/2020,Karachi,PM 2.5,175
2/15/2020,Karachi,PM 2.5,166
2/16/2020,Karachi,PM 2.5,157
2/17/2020,Karachi,PM 2.5,175
2/18/2020,Karachi,PM 2.5,201
2/19/2020,Karachi,PM 2.5,179
2/20/2020,Karachi,PM 2.5,101
2/21/2020,Karachi,PM 2.5,159
2/22/2020,Karachi,PM 2.5,129
2/23/2020,Karachi,PM 2.5,140
2/24/2020,Karachi,PM 2.5,153
